UserTags,TimeStamps,Tweets
"The Canadian Press Politics
@CdnPressPoli",2024-01-11T14:46:47.000Z,"Canada's federal government was warned two years ago high immigration could affect housing costs, according to documents released in response to an access-to-information request"
"The Canadian Press Politics
@CdnPressPoli",2024-01-11T14:46:47.000Z,"MPs set to debate Ukraine trade deal, as Liberals chide Conservatives for vote against bill https://thecanadianpressnews.ca/national/mps-set-to-debate-ukraine-trade-deal-as-liberals-chide-tories-for-vote-against-bill/article_ea5acad7-f8bf-5b3d-9798-73a46c1b6459.html… via 
@StephTaylorCP"
"The Canadian Press Politics
@CdnPressPoli",2024-01-11T14:46:47.000Z,Ottawa locals to testify about 'Freedom Convoy' at organizers' criminal trial
"The Canadian Press Politics
@CdnPressPoli",2024-01-11T14:46:47.000Z,"India claims students at risk after envoy insists safety, in 'early stages' of spat https://thecanadianpressnews.ca/national/india-claims-students-at-risk-after-envoy-insists-safety-in-early-stages-of-spat/article_f67d93c1-af49-5a23-bbf4-df22247cd02f.html… Story by Dylan Robertson (
@withfilesfrom
)"
"The Canadian Press Politics
@CdnPressPoli",2024-01-11T14:46:47.000Z,"CSIS is leaning on Soviet imagery to help prime the public against disinformation but experts say Moscow is more likely to use images that make readers think the messaging is coming from North American sources. A story with 
@withfilesfrom
 https://bit.ly/3r0diTN #cdnfoi #cdnpoli"
"The Canadian Press Politics
@CdnPressPoli",2023-11-28T12:46:02.000Z,"Biden's Inflation Reduction Act, one year on: 'It's restoring the American dream' https://thecanadianpressnews.ca/politics/bidens-inflation-reduction-act-one-year-on-its-restoring-the-american-dream/article_6a44d831-5942-5d08-88a3-152e26ed3792.html… Story by Washington correspondent James McCarten 
@CdnPressStyle"
"The Canadian Press Politics
@CdnPressPoli",2023-11-28T12:46:02.000Z,"Sneakers of the House: Canada's MPs embrace comfort, style in office footwear trend"
"The Canadian Press Politics
@CdnPressPoli",2023-11-28T12:46:02.000Z,"Centre Block on pace to reopen in 2032, include new public area under Parliament Hill https://ctvnews.ca/politics/centre-block-on-pace-to-reopen-in-2032-include-new-public-area-under-parliament-hill-1.6452914… via 
@Liam__fox"
"The Canadian Press Politics
@CdnPressPoli",2023-11-28T12:46:02.000Z,Public Safety Minister Marco Mendicino's office said Thursday that it was informed about Paul Bernardo's pending prison transfer at several key junctures leading up to the move. https://nationalnewswatch.com/2023/06/15/mendicino-grapples-to-explain-lack-of-bernardo-info-despite-his-office-pmo-knowing/…
"The Canadian Press Politics
@CdnPressPoli",2023-11-28T12:46:02.000Z,"Canada sought use of European Union compound in Kabul for fingerprinting, then reneged https://thecanadianpressnews.ca/national/canada-sought-use-of-european-union-compound-in-kabul-for-fingerprinting-reneged/article_55e6aa22-9acc-52c0-a33c-1e4b5d72f8cd.html… via 
@withfilesfrom"
